Numero d'inventario;Autore;Titolo;Data;Materia e tecnica;Dimensioni;Descrizione;Percorso
Q 375;Artemisia Gentileschi;Annunciazione;1630;Olio su tela;Misure senza cornice: 257x179 cm Misure con cornice: 282x204 cm*;"La maggiore attenzione negli studi su Caravaggio e i caravaggeschi riguarda la figura di Artemisia Gentileschi, figlia d’arte, la cui cultura e significato sono stati definiti derivativi ed epigonici. Se la letteratura, il cinema e la storiografia femminista si sono impadroniti del suo ""personaggio"" a partire dal secondo dopoguerra, più lentamente si cerca di definire l'entità e la cronologia del suo lavoro, non immune dal sospetto di una sopravvalutazione. Capodimonte possiede la sua ""prima commissione napoletana superstite"" e il ""numero più alto [di opere] nel percorso partenopeo"". Nella pinacoteca, sullo stesso muro, sono esposte tre opere dello stesso soggetto, eseguite nell'arco di trent'anni: una di Scipione da Gaeta, una di Francesco Curia e, nel 1612, una di Louis Finson, uno degli amici nordici del Caravaggio.  Questa esposizione didascalica mostra come Artemisia, arrivata a Napoli all'inizio del decennio, abbia cercato di variare la rappresentazione tradizionale della scena. L'angelo e la Vergine non sono allineati in modo paratattico come nell'esemplare nordico di vent'anni prima, ma disposti in senso diagonale e in movimento. La centenaria studiosa Mina Gregori, allieva di Roberto Longhi (a cui si devono i primi saggi su Gentileschi padre e figlia, del 1916), fu tra le prime a sottolineare nel dipinto echi di maestri del tempo di Luigi XIII, in particolare di Simon Vouet, attivo a Roma e che aveva inviato dipinti a Napoli negli anni Venti. Il rapporto con il lessico cromaticamente chiaro dei francesi si rivela bene a Capodimonte, dove i ricchi panneggi dell’angelo non sfigurano rispetto all’analogo di Vouet con tunica e dadi (dalla serie di dodici eseguita nel 1627 per il cardinale Filomarino). Del resto, non c’è luogo migliore della pinacoteca napoletana per avallare confronti tra Artemisia, Vouet e Charles Mellin. Oltre trent'anni fa, l'autore si è impegnato in un'analisi più coraggiosa del rapporto di Artemisia con i napoletani, finora risolto solo in termini di ciò che lei ha dato. Tuttavia, l'impatto effettivo del lavoro della pittrice sembra oggi ridimensionato, in anni in cui a Napoli si potevano ammirare le tele di Ribera e gli affreschi di Stanzione (forse i più belli del tardo caravaggismo del secolo). A prescindere dai giudizi di valore, il quadro è un'istantanea della posizione di Artemisia in un'epoca in cui la scena locale mostra un cambio di marcia, orientato verso il Barocco, con l'arrivo dei bronzi di Giuliano Finelli per la cappella del Tesoro di San Gennaro.";40 - Q_375
 Q 192;El Greco;El soplon;1571-72;Olio su tela;Misure senza cornice: 60,5x50,5 cm Misure con cornice: 78x70x6 cm;"Il dipinto El soplòn o Ragazzo che accende una candela con un tizzone, è stato realizzato attorno al 1570-1572 da El Greco, cretese di nascita, vissuto tra Italia e Spagna, tra i pittori più innovativi della seconda metà del Cinquecento. La luce irradiata dal tizzone, unica fonte posta al centro della composizione, investe il volto imberbe e intento del protagonista, introducendo l’osservatore all’interno di una scena sottilmente misteriosa, resa attraverso una pittura pastosa e contrastata. L’opera, probabilmente realizzata su commissione della famiglia Farnese, evoca la tradizione veneziana nell’uso del colore, in particolare le lezioni di Tiziano, di Tintoretto e di Jacopo Bassano, apprese nel corso del soggiorno a Venezia (1567-1570). El Greco si dimostrò ricettivo e versatile, accogliendo successivamente le influenze classiciste dell’ambiente romano, frequentato tra il 1570 e il 1575, e dell’entourage del Cardinale Alessandro Farnese, cui fu presentato dall’artista Giulio Clovio. Proprio l’opera El soplòn suggerisce ascendenze da fonti diverse: una è ascrivibile alla cultura classica, per il riferimento al dipinto realizzato nel IV a.C. secolo dal rivale di Apelle, Antifilio di Alessandria, con medesimo tema, descritto da Plinio il Vecchio nella Naturalis Historia; l’altro modello è invece riconoscibile nelle composizioni di Bassano, nelle quali tale soggetto è inserito come figura marginale. Nel dipinto El soplòn, El Greco conferisce, invece, dignità al ritratto solitario e raccolto del giovinetto che emerge dal fondo buio, una scena quotidiana che consente di ammirare il virtuosismo tecnico dell’autore. Più favolistica e allegorica risulta la versione conservata al Museo del Prado, Una fábula, datata 1580 circa (inv. P7657), che presenta l’inserimento di altri personaggi: una scimmietta e un giovane uomo. Nei numerosi cambi di sede, da Palazzo Farnese di Roma, alla Pilotta di Parma, a Napoli e poi nuovamente a Roma nel 1799 come bottino di guerra, fino al definitivo ritorno a Napoli, al Palazzo degli Studi, e poi all’attuale sede, l’opera El soplòn è stata alternativamente attribuita a El Greco, a Clovio, a Gherardo delle Notti e, infine, ricondotta all’autore cretese ed esposta a Capodimonte, accanto ai grandi capolavori della collezione Farnese. ";41 - Q 192 El Greco_El Soplon-2603
Q 147;Sebastiano del Piombo (Sebastiano Luciani);Ritratto di Clemente VII senza barba;1526 ca.;olio su tela;Misure senza cornice: 145x100 cm Misure con cornice: 169,5x124x8,5 cm;Mesi prima che Roma fosse messa a sacco dai lanzichenecchi, cioè i mercenari al soldo dell’imperatore Carlo V, Clemente VII, al secolo Giulio de’ Medici, con berretto di velluto (il camauro) e una corta mantella (la mozzetta), siede contro uno sfondo indeterminato voltando lo sguardo di lato. Siamo intorno al 1526 e il pontefice sta posando per il veneziano Sebastiano Luciani, pittore formatosi con Giorgione e che, sceso a Roma, ha conquistato la stima di Michelangelo, diventando famoso come ritrattista. Sebastiano, che al tempo ha oltre quarant’anni ed è in procinto di impiegarsi alla piombatura dei documenti pontifici, onorerà al meglio l’occasione di arricchire l’iconografia ufficiale della famiglia Medici. L’artista e scrittore Giorgio Vasari, che attesta la bravura di Sebastiano nel fare ritratti “di tutta finezza e bontà”, vide questo dipinto nello studio del pittore (Vasari 1568). A Capodimonte si conserva un’altra effigie di Clemente: ma solo il viso di profilo, con barba e su lavagna (una tecnica in cui Sebastiano si specializzò al punto di suggerire a Michelangelo di rendere su pietra il Giudizio Universale nella Cappella Sistina). Mai prima, e raramente dopo, l’immagine di un pontefice aveva trasmesso un simile effetto di vigoria scultorea. Dinanzi al vicario di Cristo Sebastiano rispetta le dimensioni del viso, ma su un corpo che cresce illusionisticamente fino a scoppiare. Che gigante sarebbe si alzasse! L’esito strapotente è temperato dalle tinte dei vestimenti e della tunica che si arriccia di lato sulla porzione della sedia in evidenza. A centro quadro, come un paesaggio al tramonto, il rosso della mantella è battuto da ombre e serpentine chiare. Maestri veneti di nascita o adozione, da Battista Franco al Tintoretto al Greco stesso, proveranno a rimodulare l’indicibile ricchezza di un colore saturo e serotino, che si prolunga nel camauro guarnito di pelliccia. Il viso del papa, dalla pelle lievemente umida per la rasatura, è un tour de force di indagini luministiche che costringe ad aprire il dossier sul peso specifico di Sebastiano per il naturalismo seicentesco. In basso, la mano abnorme invade lo spazio reale e riequilibra la posa in senso michelangiolesco. Secondo lo scrittore e storico dell’arte Roberto Longhi questo ritratto fa parte di quei “capolavori di genere composito (drammi a chiave culturale tra due contrarie e altissime visioni figurative)” (Longhi 1946 [2017], p. 38). Si allude alla civiltà veneziana del colore e a quella tosco romana del perfetto contorno, mai così ben fuse in uno stesso quadro.;42 - Sebastiano del Piombo_Ritratto di Clemente VII_ph.L.Romano_0999
Q 373;Elemosina di santa Elisabetta d’Ungheria;Bartolomeo Schedoni;1611;Olio su tela ;Misure senza cornice: 180x128 cm Misure con cornice: 210x155x10,5 cm;"Elisabetta, figlia del re d’Ungheria Andrea II, sposa appena tredicenne Ludovico, figlio ed erede del sovrano di Turingia. A vent’anni, già vedova, diviene francescana dell’ordine delle terziarie, si spoglia dei propri averi e destina i suoi sforzi e gli ultimi anni di vita – morirà a soli 24 anni nel 1231 – alla costruzione di un ospedale a Marburgo, ove sostenere i poveri e gli ammalati. Il soggetto del dipinto, individuato storicamente come Carità, è stato precisato nella monografia di Negro e Roio (2000) come Elemosina di santa Elisabetta d’Ungheria e rappresenta il Miracolo delle rose, uno dei due eventi che favorirono la canonizzazione della santa nel 1235. Di nascosto dal marito, che non condivideva il sentimento caritatevole della moglie, in tarda notte Elisabetta, celati i capelli biondi con un turbante, girava per la città offrendo il pane ai poveri e agli infermi. Scoperta dal consorte, che le intima di mostrargli cosa porti in grembo, la donna invoca il Signore, e osserva miracolosamente il pane trasformarsi in rose; così poté proseguire le sue opere di carità. Nel dipinto, la figura femminile si rivolge a tre personaggi, che simboleggiano le categorie di bisognosi: l’ammalato (il cieco, dettagliatamente descritto nella sua patologia), il povero questuante, che tende il cappello, e il bambino, in primo piano, che rappresenta un orfano, forse alludendo all’opera di misericordia del vestire gli ignudi. È possibile che la tela nasca come ex voto per la nascita di Alessandro Farnese, il 5 settembre del 1610, a dieci anni dal matrimonio tra Ranuccio e Margherita Aldobrandini. È documentato che, all’indomani del parto, per festeggiare, la coppia aveva elargito per diversi giorni elemosine ai bisognosi. Bartolomeo Schedoni, artista ufficiale dal 1607 della corte di Ranuccio I Farnese, duca di Parma e Piacenza, lavorò per la famiglia tra Modena e Parma, sviluppando un linguaggio originale che coniuga i modi morbidi e soffusi della pittura di Correggio con sorprendenti effetti di realismo.";43 - Q_373
Q 290;Bernardo Cavallino;La Cantatrice;1645 ca.;olio su tela;Misure senza cornice: 75x64 cm Misure con cornice: 95x78 cm;Dinanzi al ritratto della Cantatrice si resta affascinati, se non ammaliati, dalla grazia attraverso la quale la fanciulla posa lo sguardo su chi la osserva, mentre, dalle labbra appena schiuse, una soave melodia pare espandersi nell’aria. La giovinetta nell’ovale, considerata dalla critica personificazione stessa dell’arte del canto, è ritratta leggermente di tre quarti, in modo che la luce e l’ombra possano alternarsi e definirne i tratti del viso. La chioma, descritta attraverso impalpabili pennellate sulla veste, è morbidamente accolta in una piccola treccia trattenuta vezzosamente tra le mani. L’elegante gestualità di queste ultime, poste in primo e realizzate con grande maestria attraverso luminosi tocchi di colore rosso sulla punta delle dita, accompagna armoniosamente il canto della fanciulla. Il ritratto, proveniente da una collezione privata, ha avuto inizialmente una complessa vicenda attributiva ed è stato definitivamente restituito al Cavallino nel 1920 da Roberto Longhi. Considerata tra le opere più rappresentative della maturità del pittore ed uno degli esempi più alti della ritrattistica secentesca, è databile intorno alla fine degli anni quaranta del Seicento, quando lo stile di Cavallino risente ancora dell’influenza del pittoricismo veneto. Nella tela il colore vibrante diviene protagonista, trovando espressione nei toni accesi del drappeggio rosso sullo sfondo, nella calda tonalità della veste di seta marrone, impreziosita dalla camicia in merletto bianco. Alcuni studiosi hanno considerato la Cantatrice di Capodimonte un pendant della Suonatrice di clavicembalo del Museo di Lione, in considerazione di varie similitudini tra le due opere quali le dimensioni, il taglio ovale della cornice, nonché la somiglianza tra i volti e la posa delle due fanciulle. Negli anni l’ipotesi non è stata unanimemente accettata dalla critica, e alcuni storici sono dell’opinione che i due dipinti siano stati realizzati in momenti diversi, con la tela di Lione da considerarsi più tarda, quando l’influenza del classicismo di Charles Mellin e di Nicolas Poussin diviene più pregnante sullo stile del maestro napoletano.;44 - Bernardo Cavallino_La Cantatrice_ph.L.Romano_10817
Q 1795*;Bernardo Cavallino;Santa Cecilia in estasi;1645;olio su tela;Misure senza cornice: 189x129 cm Misure con cornice: 208x157x10 cm;L’iconografia della Santa Cecilia in estasi di Cavallino ha come riferimento la Legenda Aurea secondo cui la martire romana fu incoronata da un angelo con una ghirlanda di rose e gigli che non sarebbero mai appassiti. Santa Cecilia, colta nel momento dell’estasi che la rapisce, ha lo sguardo rivolto verso l’alto e le mani tese lasciando cadere il violino e lo spartito musicale, suoi attributi iconografici. Venerata come patrona dei musicisti e dei cantanti, in un passo della leggendaria Passio si legge, infatti, che ella, mentre gli organi suonavano, nel suo cuore cantasse gli inni al Signore. La tela fu realizzata per l’altare della chiesa di Sant’Antonio a Port’Alba, ed è probabile che la scelta del soggetto sia legato alle attività di canto e musica che dovevano svolgersi presso l’annesso convento di monache francescane. È l’unica opera nota di Cavallino firmata e datata 1645, sul dorso in pergamena del libro ai piedi della scena, ed era destinata ad essere esposta in un luogo pubblico, per questi motivi rappresenta un unicum nella produzione artistica del pittore, tradizionalmente impegnato in opere di formato ridotto destinate ad una committenza privata. Rimossa dalla chiesa probabilmente a seguito della soppressione degli ordini monastici di epoca francese, la tela entrò a far parte di importanti collezioni napoletane fino al 1941, quando fu venduta alla Germania di Hitler. Recuperata dal Governo italiano, fu assegnata al Museo di Capodimonte nel 1984. Qui è conservato anche il bozzetto dell’opera, proveniente dalla Sagrestia della stessa chiesa considerato, sia dalla critica più antica (De Dominici, 1742) che da quella più recente, qualitativamente superiore al quadro finito per un più alto livello di quel “pittoricismo” (Spinosa 2013) ed eleganza formale che segnarono la svolta pittorica del pittore a partire dagli anni della realizzazione di queste opere. La datazione della Santa Cecilia e del suo bozzetto preparatorio consente, infatti, di ascrivere agli anni Quaranta il passaggio di Cavallino ad una nuova maniera pittorica che inizia a discostarsi dalla fase giovanile, dove erano stati determinanti gli esempi naturalistici di Ribera e di Aniello Falcone. Un naturalismo che resta nelle solide figure in primo piano dove, adesso, la pennellata si fa più morbida, fluida, e quasi si esaspera in un abbozzo nell’angelo a sinistra, quasi incorporeo, anticipo di analoghe figure delle sue opere più tarde. La strada di un maggiore pittoricismo è segnata dall’uso di effetti luministici non per plasmare le forme ma per esaltare la gamma cromatica e contribuire alla resa materica. La veste giallo oro della Santa, il raffinato mantello di broccato blu, l’abito grigio verde opaco dell’angelo, il rosso opaco della veste dell’angelo musicante mostrano un colorismo più prezioso e accostamenti più delicati. Determinanti furono le suggestioni che sul pittore ebbero le opere di Artemisia Gentileschi e le correnti neovenete diffuse in area mediterranea, soprattutto attraverso le opere di Giovan Benedetto Castiglione detto il Grechetto documentato a Napoli nel 1635. L’eleganza formale e la resa espressiva addolcita dei personaggi rimandano invece alle soluzioni di Massimo Stanzione e di Simon Vouet.;45 - Bernardo Cavallino_Santa Cecilia in estasi_ph.Luciano Romano__6811
Q 106 Collezione Farnese;Correggio (Antonio Allegri);Sposalizio mistico di santa Caterina;1517-1518 ca;olio su tavola;Misure senza cornice: 28,5x24 cm Misure con cornice: 78,50x55 cm;Secondo una Conversio dell’VIII sec. d.C., nella prima notte dopo aver ricevuto il battesimo, Caterina, nobile bella e colta vissuta ad Alessandria d’Egitto e ivi martirizzata nel 305 d.C., ebbe la visione della Madonna con in grembo il Bambino Gesù, il quale le infilò al dito un anello, facendola sua sposa. L’iconografia delle nozze mistiche della santa viene ripresa da Correggio in maniera intimista, tenera e affettuosa, incentrata sul gioco delle mani e degli sguardi dei personaggi, sottolineato da un raffinato gioco di luci e ombre e di stesure vivide di colore. Caterina è identificata dalla palma del martirio nella mano destra e dalla spada in basso, con la quale fu decapitata a seguito del supplizio della ruota dentata. La datazione dell’opera oscilla tra il 1517 e il 1518, per il tratto sinuoso e indefinito e la brillante e nervosa fragilità vicini alle esperienze del primo manierismo senese (Michelangelo Anselmi, Domenico Beccafumi), e il 1520-1521, dopo un supposto, ma non documentato, viaggio a Roma dell’artista, che risente della produzione di Raffaello in città, derivandone una maggiore introspezione psicologica e una accurata riflessione sul movimento e la dinamicità delle figure (sulla questione cfr. M. Santucci in Correggio 2008-2009, pp. 187-188, cat. II, 28). Il dipinto apparteneva alla collezione della contessa emiliana Barbara Sanseverino, che lo definì “piccolo, ma gioia di estrema bellezza” in una nota del 1596 con cui l’offriva a Vincenzo Gonzaga, marchese di Mantova. Il proposito non ebbe seguito, dal momento che lo Sposalizio fu requisito ai Sanseverino per entrare a far parte delle collezioni farnesiane nel 1612, a seguito della confisca dei beni da parte dei feudatari che avevano congiurato contro i Farnese (P. Leone de Castris in Museo e Gallerie Nazionali di Capodimonte 1994, pp. 149-150).;46 - Q 106 Correggio_Sposalizio mistico di Santa Caterina_Capodimonte_ph.L.Romano_7235
PR 319 Collezione Farnese (proprietà Palazzo Reale di Napoli, in consegna a Capodimonte dal 1957);Annibale Carracci;Sposalizio mistico di Santa Caterina;Post 1585;Olio su tela;Misure senza cornice: 160 x 128 cm Misure con cornice: 206,5x175,5x18 cm; La scena delle nozze mistiche di santa Caterina con Gesù Bambino sorretto in grembo dalla Vergine, secondo una diffusa iconografia derivata dai testi agiografici, è ambientata, alla presenza di due angeli, in uno spazio indefinito tra le nuvole, che in alto a destra prendono la forma di putti. La ruota dentata del martirio, attributo iconografico della santa, si intravede appena nell’angolo inferiore sinistro del dipinto, quasi per non turbare la narrazione dell’evento prodigioso. Lo Sposalizio di Napoli ha un ruolo centrale nel primo sviluppo di Annibale, che, nella tenerezza della fattura, nel misto di verità naturalistica e raffinatezza esecutiva, nel rifiuto dei formalismi manieristici, mostra la piena riflessione sui portati della grande tradizione emiliana cinquecentesca, in particolare Correggio, da cui mutua il morbido sfumato, la dolcezza e la grazia, e Parmigianino, nella resa preziosa dei particolari, soprattutto nelle vesti aristocratiche della santa. Il dipinto viene concordemente datato tra la Pietà con i santi Francesco, Chiara e Maria Maddalena eseguita da Annibale per i Cappuccini di Parma nel 1585 (oggi a Parma, Complesso Monumentale della Pilotta, Galleria Nazionale) e l’Assunzione per la confraternita di San Rocco a Reggio Emilia del 1587-1588 (oggi a Dresda, Gemäldegalerie Alte Meister). Eseguito per il duca Ranuccio Farnese, lo Sposalizio fu portato dall’artista a Roma qualche anno dopo, nel 1594, quale “biglietto di presentazione” per il cardinale Odoardo, fratello del duca (P. Leone de Castris in Museo e Gallerie Nazionali di Capodimonte 1994, pp. 118-122). Ricordata come di Annibale Carracci nelle fonti e negli inventari farnesiani, l’opera perse questa attribuzione con il trasferimento della collezione Farnese da Parma a Napoli, e fu variamente riferita ad Agostino Carracci, poi al cugino Ludovico, a Marco Vecellio, figlio di Tiziano, e, infine, a Giulio Cesare Procaccini “imitante il Correggio”. Fu finalmente restituita su base stilistica e documentaria ad Annibale Carracci da Ferdinando Bologna (1956), con consenso unanime della critica. Se ne conoscono due copie, conservate una alla Galleria Nazionale di Parma (inv. GN 174) e una al Musée des Beaux-Arts et d’Archéologie di Besançon, attribuita a Leonello Spada. ;47 - SOTTOCONSEGNA PALAZZO REALE PR 319 Annibale Carracci_Sposalizio mistico di Santa Caterina_Capodimonte_ph.L.Romano_2297
Q 255;Mattia Preti;Giuditta e Oloferne;1653-54 ca.;olio su tela;Misure senza cornice: 188x142 cm Misure con cornice: 217x174x11 cm;"A rigore non è la prima volta che la Giuditta e Oloferne, capolavoro del tempo napoletano di Preti oltreché tra gli highlights delle raccolte di Capodimonte, compare in mostra a Venaria Reale. Collocabile nei primi anni Cinquanta, la tela è tra le più alte interpretazioni che abbia fornito del tema la cultura tardo barocca. Stabile nell’antologia napoletana – come si evince elencando le esposizioni cui è stata convocata, a finire con quella tenutasi proprio qui, undici anni fa (2013) – è un campione delle attitudini stilistiche e mentali di Preti a Napoli (1653-1661). Sulla prima destinazione da stanza per un avvocato calabrese familiare del pittore, Domenico Di Somma, ci illumina il testamento del committente (1659); sappiamo anche di un ulteriore passaggio di mano per eredità finché, nell’estate 1685, la tela migra su una delle pareti laterali di San Domenico Soriano a Napoli, chiesa della nazione calabrese. Ai primi dell’Ottocento, con la soppressione del patrimonio ecclesiastico, cominciò la musealizzazione dell’opera (dal Palazzo degli Studi, poi Real Museo Borbonico fino all’attuale ubicazione). Rivolto verso l’alto, lo sguardo di Giuditta esclude lo sguardo dell’osservatore (posto ad altezza del corpo riverso del generale assiro). Nello sconfessare la convenzione, propriamente caravaggesca, tesa a privilegiare gli elementi, diciamo così, di oltraggio fisico e animalità, della scena; Preti preferisce indugiare sugli attimi successivi allo scannamento. Studiato nei cicli romani e napoletani, è come sempre Lanfranco il motore di questa attivazione dinamica dei nodi narrativi. Il taglio della composizione, tra i più audaci del secolo, costituisce il punto di forza di un dipinto su cui gli artefici locali, da Luca Giordano in giù, non smetteranno di interrogarsi. Superata di poco la metà del secolo, la Giuditta rivela Preti in sintonia appunto con Giordano, impegnato nelle tele di San Pietro ad Aram (1654) e nel Miracolo di San Nicola di Bari per Santa Brigida (1655).";48 - Mattia Preti_Giuditta e Oloferne_ph.Luciano Romano_8691
Q 309;Pietro Novelli detto il Monrealese;Giuditta e Oloferne;1637 post;olio su tela;Misure senza cornice: 241x167 cm Misure con cornice: 266x192x10 cm;"Prima del trasferimento in pinacoteca più di vent’anni fa, la tela arricchiva il comparto secentesco, non solo meridionale e vicereale, delle raccolte di Palazzo Reale a Napoli. In sala XVII era esposta insieme a pittori di varia provenienza come lo Spadarino, Andrea Vaccaro, Johann Liss e lo stesso Gerard van Hontorst (Causa Picone 1987, p. 80). Nel riallestimento del secondo piano di Capodimonte (2022) il quadro di Novelli completa una parte dedicata al tema di Giuditta: insieme alle versioni di Artemisia Gentileschi e Preti, oggi pure esposte a Venaria. Una possibile datazione nei primi anni Trenta lo segnala come una delle tracce più vivide e impattanti del seguito di Ribera nel Viceregno. La resa delle superfici e delle luci – dal tour de force del nudo ai lustri sugli inserti delle armi in angolo – attinge alle risorse di un virtuosismo che, da noi, si confronta con il coetaneo Andrea Vaccaro (1604-1670) e, tra poco, parrà irrinunciabile ad artigiani della qualità come Antonio De Bellis o lo stesso Bernardo Cavallino. Se tutta la composizione è misurata in ogni punto fin, quasi, si direbbe, a un sospetto di accademismo (non sembra qui Novelli, alla lontana, una sorta di Alessandro Turchi napoletano?); più che al prototipo caravaggesco, la posa e il disegno del corpo muscolato del generale rimandano all’Oloferne michelangiolesco aggrappato alla tenda alla Sistina. L’abiura alla bella pittura che caratterizza l’ultimo Caravaggio (1606-1610) cede il passo a una ripresa dello ‘stile’. Quella di Ribera è rotondamente la lingua matrice: anche se è piuttosto dalla mediazione di opere come questa di Novelli che comprimari di spinta come Giovanni Ricca saranno risaliti ai capolavori centrali del maestro spagnolo, a partire dal 1626. Per due decenni – fino al salto di livello imposto dalla versione, pure qui esposta, di un altro grande maestro regnicolo come Mattia Preti – la scena locale inclina verso la redazione del tema biblico che offre il più importante dei maestri siciliani. Benché non accertato, pare da porre intorno al 1631-1632 il viaggio del Monrealese a Napoli e, d’altronde, gli specialisti concordano nel riconoscere nel dipinto un’aria di famiglia napoletana. Si tratta, appunto, di specificarne i termini. Per nulla peritoso Novelli reagisce a quel cartellone delle poetiche mature del Ribera costituito dalla Trinità terrestre e i santi Bruno, Benedetto, Bernardino e Bonaventura, firmata nel 1630, oggi a Capodimonte, ma proveniente dalla chiesa annessa al convento della Trinità delle Monache a Napoli. La contiguità con la tela appare così stretta da far ipotizzare un’esecuzione non troppo distante (immediato il confronto tra la Madonna e l’assistente di Giuditta). L’acme della fortuna del dipinto va segnalata nella convocazione alla rassegna Civiltà del Seicento a Napoli (Napoli 1984-1985); per l’occasione comparvero altre due opere del maestro siciliano (il Miracolo di San Francesco Saverio e la più tarda Trinità invia l’Arcangelo Gabriele alla Vergine). La nostra Giuditta si data verso la metà degli anni 1630; o in avvio di decennio. Altri la mette più avanti: verso il 1640 (Spinosa 2010 indica, in collezione Martinez a Palermo, un’altra tela di Novelli con lo stesso soggetto).";49 - Q_309
Inv. Q 254 Acquisto 1906 (da Napoli, collezione Colonna di Stigliano);Mattia Preti;Convito di Assalonne;1668 ca.;olio su tela;Misure senza cornice: 209x297 cm Misure con cornice: 228x318,5x10 cm;"Il dipinto è incentrato sul momento, narrato nel Libro di Samuele in cui, durante un banchetto, Assalonne figlio di Davide ordina ai domestici: “Badate, quando Amnon avrà il cuore allegro per il vino e io vi dirò: Colpite Amnon!”, voi allora uccidetelo e non abbiate paura […]. I domestici di Assalonne fecero ad Amnon, come Assalonne aveva comandato (Libro di Samuele, II, 13-23-29). A non troppi anni dalla morte di Preti (1699) un testimone avveduto, finissimo critico dello stile, come Bernardo De Dominici era già in grado di prendere le giuste misure a questo e ad altri lavori emblematici della maturità del maestro: “grandiose di componimenti e di eroica maniera, con ottimo intendimento prospettico, degradazione di tinte, ed accidenti di lumi, niente inferiori a quel gran maestro [Veronese]” (De Dominici 1742-1745 [2003-2014], 3.1, p. 597). Argomentata intorno alla metà del Settecento, da chi era cresciuto nell’orbita di Francesco Solimena la lettura in chiave neo veneta di questo dipinto, tra i cardini del linguaggio maturo di Preti, è da accettare; ed è stata sostanzialmente accolta dalla critica moderna, a far capo, tra i più ispirati, da Raffaello Causa. Forse il punto di svolta nella fortuna moderna di questo dipinto, restaurato nel 1998 e che, in tempi di ubriacature caravaggesche, appare oggi di lettura più ostica di quanto non fosse decenni fa, è infatti costituito dall’illustrazione a colori (semi staccabile dalla pagina) nella carrellata sui napoletani, da Colantonio a Migliaro, approntata a Bergamo dal giovane Causa (1957). Sulla falsariga del De Dominici Causa parla, appunto, di “libero estrinsecarsi delle esperienze luministiche […] in una decorazione più ampia e illusiva”. Significativo che, nella tavola successiva, Causa scegliesse di illustrare il Banchetto di Erode di Giordano, pure di Capodimonte. I dipinti sono accomunati nello sforzo di riambientare, settant’anni dopo, il fare ampio di Veronese e di un fiammingo italianizzante come Rubens, con una materia diversa. A distanza di dieci anni non apparirà meno rilevante, ai fini della divulgazione popolare, la foto a colori ne I seguaci del Caravaggio a Napoli numero 222, dove il dipinto compare con due parole, quelle giuste: “la vecchia lezione caravaggesca è ripresentata in sonanti accenti scenografici”. Negli ultimi decenni mentre gli studi sul Preti (e sul fratello maggiore Gregorio, anch’egli pittore) si sono infittiti in coda alle ricerche sul caravaggismo; la letteratura sul dipinto e sul pendant con il Banchetto di Baldassarre, pure a Capodimonte e qui esposto, ha segnato il passo. Una cronologia mediana, alla fine del soggiorno napoletano, è rimarcata nell’ultima monografia sul maestro (Sciberras 2020). In qualche modo il titolo della recente esposizione a Seattle e a Forth Worth (2020) Flesh & Blood, carne e sangue, in cui il dipinto, e quello compagno sono stati esposti, ne rimarca implicitamente il valore naturalistico a segno di una matrice caravaggesca in senso napoletano, sopita, ma mai rinnegata.";50 - Q_254
Q 263;Mattia Preti;Convito di Baldassarre;1668 ca.;olio su tela;Misure senza cornice: 204x307 cm Misure con cornice: 232x328x9 cm;"Va in scena il culmine del banchetto di Baldassarre narrato nel cosiddetto racconto biblico della scritta: “Quando il re ebbe molto bevuto comandò che fossero portati i vada d’oro e d’argento che Nabucodonosor suo padre aveva asportati dal tempio, che era in Gerusalemme, e il re, i suoi grandi, le sue moglie e le sue concubine li usarono per bere; mentre bevevano il vino, lodavano gli dei d’oro, d’argento, di bronzo e di ferro, di legno e di pietra. In quel momento apparvero le dita di una mano d’uomo le quali scrivevano sulla parete della sala reale, di fronte al candelabro” (Daniele, 5-8). Tra le vedettes di Capodimonte il Banchetto di Baldassarre è un campione del soggiorno napoletano del Preti (1653-1661) anche in ordine ad una nuova complessità spaziale; i punti di vista si moltiplicano mentre il dipinto obbliga lo spettatore a spostarsi di continuo per coglierne gli spunti sottotraccia e gli aumenti di volume. I piani sequenza, statici e ravvicinati, delle cene caravaggesche cui lo stesso Preti – in primis col fratello Gregorio anch’egli pittore – aveva partecipato nella giovinezza romana - sono ripotenziati, fino a farli esplodere. Si è parlato, volta a volta, di “naturalismo monumentale” e “grande maniera” (di recente Sciberras 2020, p. 83). L’eredità lagunare dei maestri del colore è la matrice di questo up grade drammatico, come fu chiaro agli stessi contemporanei del maestro. Ma Preti si riaffaccia ai grandi banchetti del Veronese tramite la mediazione degli scorci e dei sottinsù messi a punto da un cruciale pittore parmense come Giovanni Lanfranco (studiato a Roma e rincontrato dal Preti nelle opere napoletane). La recente collocazione del dipinto nella sala 101, al secondo piano di Capodimonte, nonché assodare, se ce ne fosse bisogno, il valore della tela nel momento di massima acuzie del barocco meridionale, ha il pregio di sottolinearne in particolare gli spunti, vicendevolmente fruttuosi, per un altro maestro, più giovane di vent’anni, Luca Giordano, autore, nel 1659, della Santa Lucia condotta al martirio, lì esposta. È molto dubbio, tuttavia, che queste opere, da sempre tra le più celebrate del tour seicentesco di Capodimonte possano incontrare il gusto di oggi, largamente improntato al realismo caravaggesco.";51 - Q_263
